(kg) (lb) E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5 J1 J2
17.5 38.5 36.68 36.34 36.84 36.68 36.84 38.18 38.53 43.16 43.56 44.43 44.86 44.61 44.18 44.28 44.18 48.20 47.72 55.84 41.16 57.60 94.46 112.13
18.0 39.6 37.24 36.87 37.41 37.24 37.41 38.76 39.13 43.80 44.21 45.08 45.53 45.35 44.93 45.03 44.93 49.00 48.53 56.73 41.84 58.55 96.56 114.71
18.5 40.7 37.80 37.43 37.99 37.80 37.98 39.35 39.73 44.43 44.84 45.74 46.17 46.09 45.63 45.76 45.64 49.80 49.31 57.64 42.51 59.48 98.67 117.25
19.0 41.8 38.36 37.99 38.54 38.36 38.54 39.93 40.31 45.05 45.48 46.40 46.83 46.82 46.37 46.48 46.37 50.59 50.10 58.55 43.19 60.40 100.76 119.80
19.5 42.9 38.91 38.54 39.09 38.91 39.09 40.50 40.90 45.67 46.12 47.04 47.48 47.54 47.10 47.19 47.10 51.38 50.88 59.44 43.88 61.33 102.84 122.32
20.0 44.0 39.46 39.09 39.65 39.46 39.66 41.09 41.47 46.30 46.75 47.68 48.13 48.28 47.81 47.93 47.80 52.15 51.65 60.32 44.55 62.25 104.92 124.83
20.5 45.1 39.90 39.53 40.10 39.90 40.09 41.54 41.93 46.84 47.31 48.23 48.69 48.89 48.41 48.53 48.41 52.81 52.32 61.11 45.10 63.06 108.57 128.42
21.0 46.2 40.34 39.97 40.53 40.34 40.55 41.99 42.39 47.38 47.83 48.77 49.24 49.49 49.01 49.15 49.01 53.47 52.96 61.89 45.65 63.86 112.21 131.99
21.5 47.3 40.79 40.40 40.99 40.79 40.99 42.45 42.86 47.93 48.37 49.31 49.78 50.09 49.59 49.72 49.59 54.13 53.60 62.67 46.21 64.65 115.86 135.54
22.0 48.4 41.23 40.83 41.43 41.23 41.42 42.90 43.31 48.44 48.91 49.85 50.33 50.69 50.21 50.32 50.20 54.78 54.23 63.45 46.77 65.45 119.47 139.06
22.5 49.5 42.07 41.66 42.06 42.07 42.27 43.77 44.20 49.43 49.92 50.88 51.36 51.78 51.28 51.63 51.27 55.93 55.39 64.85 47.78 66.87 123.08 143.30
23.0 50.6 42.51 42.10 42.50 42.51 42.71 44.22 44.64 49.98 50.45 51.41 51.91 52.37 51.87 52.24 51.86 56.58 56.03 65.61 48.31 67.67 126.67 146.84
23.5 51.7 42.95 42.53 42.93 42.95 43.15 44.68 45.10 50.50 50.97 51.95 52.44 52.95 52.45 52.83 52.45 57.22 56.67 66.39 48.86 68.45 130.26 150.35
24.0 52.8 43.37 42.97 43.37 43.37 43.58 45.12 45.55 51.04 51.52 52.47 52.98 53.54 53.06 53.42 53.04 57.86 57.31 67.16 49.41 69.23 133.84 153.86
24.5 53.9 43.81 43.38 43.80 43.81 44.01 45.56 46.00 51.55 52.04 53.00 53.51 54.15 53.64 54.00 53.62 58.50 57.94 67.92 49.95 70.01 137.39 157.35
25.0 55.0 44.23 43.81 44.23 44.23 44.45 46.00 46.44 52.06 52.58 53.53 54.06 54.73 54.19 54.58 54.19 59.14 58.57 68.69 50.50 70.80 140.92 160.82
25.5 56.1 44.64 44.23 44.67 44.64 44.87 46.44 46.90 52.59 53.09 54.06 54.58 55.31 54.78 55.18 54.78 59.77 59.20 69.45 51.04 71.57 144.46 164.30
26.0 57.2 45.09 44.64 45.08 45.09 45.29 46.89 47.32 53.09 53.60 54.58 55.09 55.89 55.35 55.75 55.35 60.39 59.81 70.20 51.57 72.33 147.99 167.76
26.5 58.3 45.50 45.08 45.50 45.50 45.73 47.31 47.78 53.60 54.13 55.09 55.64 56.46 55.91 56.33 55.92 61.01 60.41 70.95 52.09 73.07 151.51 171.20
27.0 59.4 45.92 45.48 45.92 45.92 46.13 47.76 48.20 54.12 54.64 55.63 56.16 57.03 56.49 56.89 56.50 61.63 61.03 71.69 52.61 73.85 154.99 174.65
27.5 60.5 46.34 45.89 46.33 46.34 46.57 48.18 48.64 54.63 55.14 56.14 56.67 57.60 57.07 57.46 57.07 62.25 61.64 72.43 53.15 74.59 158.48 178.07
28.0 61.6 46.75 46.31 46.76 46.75 46.98 48.60 49.07 55.13 55.65 56.63 57.19 58.17 57.61 58.03 57.61 62.86 62.25 73.17 53.68 75.36 161.97 181.48
28.5 62.7 47.17 46.70 47.17 47.17 47.38 49.03 49.49 55.63 56.16 57.15 57.71 58.74 58.17 58.60 58.16 63.46 62.86 73.91 54.19 76.09 165.42 184.88
29.0 63.8 47.57 47.11 47.58 47.57 47.81 49.44 49.93 56.12 56.66 57.65 58.21 59.30 58.73 59.13 58.72 64.07 63.44 74.62 54.71 76.85 168.87 188.27
29.5 64.9 47.97 47.52 47.99 47.97 48.20 49.87 50.35 56.60 57.15 58.15 58.71 59.86 59.28 59.69 59.28 64.67 64.05 75.37 55.22 77.58 172.30 191.64
30.0 66.0 48.39 47.93 48.39 48.39 48.61 50.29 50.77 57.11 57.65 58.65 59.23 60.39 59.82 60.24 59.82 65.28 64.64 76.08 55.73 78.32 175.72 195.00
