(kg) (lb) E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5 J1 J2
16.5 36.3 73.39 72.67 72.97 73.39 73.73 81.65 82.45 98.74 99.70 102.77 103.79 114.98 113.85 114.13 113.85 128.68 127.42 154.93 111.52 157.31 120.05 127.62
17.0 37.4 74.70 73.99 74.28 74.70 75.07 83.16 83.95 100.46 101.45 104.54 105.58 117.42 116.27 116.55 116.27 131.45 130.14 158.16 113.89 160.65 122.99 130.70
17.5 38.5 76.03 75.28 75.58 76.03 76.39 84.65 85.48 102.16 103.18 106.32 107.36 119.86 118.67 118.96 118.69 134.19 132.86 161.40 116.26 163.95 125.91 133.82
18.0 39.6 77.33 76.59 76.88 77.33 77.71 86.13 86.97 103.86 104.89 108.07 109.12 122.27 121.07 121.37 121.08 136.92 135.56 164.60 118.61 167.26 128.84 136.88
18.5 40.7 78.63 77.88 78.19 78.63 79.03 87.60 88.46 105.56 106.60 109.82 110.90 124.68 123.45 123.75 123.46 139.63 138.24 167.79 120.93 170.53 131.76 139.98
19.0 41.8 79.95 79.16 79.49 79.95 80.32 89.06 89.95 107.24 108.30 111.57 112.65 127.08 125.83 126.13 125.85 142.33 140.92 170.97 123.26 173.80 134.64 143.02
19.5 42.9 81.23 80.44 80.77 81.23 81.62 90.54 91.41 108.92 109.98 113.30 114.41 129.46 128.18 128.50 128.18 145.03 143.59 174.13 125.57 177.04 137.53 146.09
20.0 44.0 82.50 81.73 82.04 82.50 82.93 92.00 92.89 110.57 111.67 115.02 116.14 131.81 130.54 130.86 130.54 147.70 146.25 177.28 127.85 180.30 140.42 149.13
20.5 45.1 83.62 82.80 83.14 83.62 84.02 93.18 94.09 111.96 113.08 116.47 117.62 133.86 132.54 132.88 132.56 149.99 148.52 180.00 129.84 183.07 140.83 153.22
21.0 46.2 84.70 83.89 84.22 84.70 85.12 94.38 95.31 113.34 114.45 117.93 119.08 135.89 134.56 134.90 134.57 152.28 150.78 182.68 131.81 185.88 144.60 157.30
21.5 47.3 85.80 84.98 85.30 85.80 86.21 95.58 96.50 114.72 115.84 119.37 120.54 137.90 136.56 136.91 136.56 154.56 153.03 185.37 133.77 188.63 148.35 161.36
22.0 48.4 86.88 86.04 86.38 86.88 87.30 96.76 97.71 116.07 117.21 120.81 121.99 139.92 138.55 138.90 138.56 156.81 155.26 188.02 135.71 191.38 152.09 165.41
22.5 49.5 89.64 88.78 89.13 89.64 90.07 99.72 100.67 119.38 120.55 124.23 125.44 144.11 142.72 143.08 142.73 161.43 159.84 193.34 139.80 197.31 156.80 171.20
23.0 50.6 90.72 89.84 90.19 90.72 91.16 100.90 101.87 120.74 121.93 125.66 126.89 146.13 144.71 145.07 144.71 163.69 162.06 196.01 141.77 200.08 160.55 175.24
23.5 51.7 91.80 90.92 91.26 91.80 92.23 102.08 103.05 122.08 123.29 127.09 128.32 148.12 146.69 147.05 146.70 165.94 164.30 198.65 143.69 202.81 164.27 179.25
24.0 52.8 92.85 91.97 92.34 92.85 93.30 103.24 104.23 123.44 124.65 128.50 129.76 150.10 148.66 149.02 148.66 168.17 166.53 201.29 145.63 205.54 167.99 183.29
24.5 53.9 93.93 93.03 93.38 93.93 94.37 104.40 105.41 124.77 126.00 129.91 131.17 152.08 150.61 150.98 150.61 170.40 168.72 203.91 147.54 208.26 171.70 187.29
25.0 55.0 94.98 94.06 94.44 94.98 95.44 105.56 106.58 126.11 127.34 131.31 132.59 154.04 152.57 152.93 152.57 172.62 170.92 206.51 149.43 210.93 175.39 191.27
25.5 56.1 96.04 95.11 95.48 96.04 96.49 106.70 107.74 127.44 128.68 132.71 134.00 156.01 154.49 154.88 154.51 174.81 173.09 209.11 151.36 213.62 179.07 195.23
26.0 57.2 97.08 96.15 96.52 97.08 97.55 107.86 108.90 128.74 130.02 134.09 135.39 157.95 156.42 156.81 156.43 177.01 175.27 211.69 153.23 216.29 182.73 199.21
26.5 58.3 98.12 97.19 97.56 98.12 98.60 109.00 110.05 130.07 131.33 135.48 136.79 159.90 158.34 158.74 158.36 179.19 177.41 214.27 155.12 218.95 186.40 203.14
27.0 59.4 99.16 98.21 98.60 99.16 99.63 110.12 111.20 131.35 132.65 136.85 138.19 161.82 160.25 160.65 160.26 181.35 179.56 216.82 156.98 221.60 190.02 207.08
27.5 60.5 100.19 99.22 99.62 100.19 100.66 111.24 112.32 132.65 133.96 138.21 139.55 163.73 162.15 162.55 162.16 183.51 181.70 219.35 158.84 224.23 193.65 210.99
28.0 61.6 101.21 100.25 100.62 101.21 101.70 112.37 113.46 133.94 135.26 139.56 140.93 165.64 164.03 164.45 164.04 185.65 183.82 221.89 160.69 226.84 197.27 214.89
28.5 62.7 102.22 101.25 101.64 102.22 102.71 113.48 114.59 135.22 136.54 140.92 142.29 167.53 165.92 166.33 165.93 187.78 185.94 224.39 162.53 229.42 200.88 218.78
29.0 63.8 103.24 102.23 102.64 103.24 103.73 114.59 115.70 136.50 137.84 142.27 143.65 169.42 167.78 168.19 167.79 189.91 188.03 226.90 164.36 232.00 204.45 222.66
29.5 64.9 104.24 103.26 103.65 104.24 104.76 115.68 116.82 137.75 139.12 143.59 144.99 171.28 169.63 170.06 169.64 192.02 190.13 229.39 166.17 234.58 208.03 226.53
30.0 66.0 105.25 104.23 104.65 105.25 105.75 116.79 117.91 139.01 140.38 144.93 146.33 173.15 171.48 171.91 171.50 194.12 192.21 231.86 167.99 237.14 211.59 230.35
