0.75 1.7 E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5
18.0 39.6 143.50 142.12 142.80 143.16 144.19 153.29 154.78 167.86 169.50 173.27 174.96 159.85 158.31 159.09 158.69 187.01 185.22 201.64 149.02 206.50
18.5 40.7 146.28 144.88 145.59 145.94 146.99 156.25 157.76 170.99 172.65 176.50 178.22 162.92 161.36 162.14 161.75 190.59 188.74 205.41 151.88 210.35
19.0 41.8 149.07 147.63 148.34 148.71 149.77 159.18 160.73 174.11 175.79 179.72 181.46 166.01 164.39 165.20 164.79 194.12 192.27 209.16 154.75 214.19
19.5 42.9 151.82 150.36 151.09 151.44 152.55 162.11 163.67 177.19 178.91 182.91 184.68 169.05 167.44 168.24 167.83 197.65 195.75 212.90 157.60 218.02
20.0 44.0 154.57 153.08 153.82 154.20 155.30 165.02 166.62 180.28 182.02 186.10 187.90 172.09 170.44 171.26 170.84 201.15 199.23 216.62 160.42 221.81
20.5 45.1 157.17 155.67 156.41 156.80 157.93 167.74 169.35 183.18 184.95 189.10 190.93 174.92 173.25 174.09 173.66 204.47 202.50 220.08 163.07 225.38
21.0 46.2 159.76 158.23 158.98 159.38 160.53 170.43 172.09 186.07 187.87 192.08 193.95 177.75 176.04 176.90 176.47 207.74 205.75 223.54 165.71 228.94
21.5 47.3 162.34 160.77 161.56 161.94 163.12 173.11 174.80 188.94 190.77 195.05 196.94 180.56 178.82 179.70 179.27 211.02 208.98 226.98 168.33 232.48
22.0 48.4 164.91 163.32 164.11 164.51 165.68 175.79 177.50 191.80 193.67 197.99 199.92 183.37 181.60 182.49 182.04 214.27 212.20 230.40 170.94 235.99
22.5 49.5 169.07 167.43 168.25 168.65 169.87 180.16 181.90 196.51 198.42 202.87 204.84 187.93 186.11 187.03 186.58 219.58 217.48 236.04 175.19 241.79
23.0 50.6 171.62 169.98 170.81 171.21 172.45 182.83 184.61 199.38 201.30 205.82 207.82 190.73 188.89 189.81 189.36 222.84 220.69 239.46 177.80 245.30
23.5 51.7 174.18 172.49 173.34 173.76 175.02 185.48 187.28 202.21 204.17 208.76 210.78 193.51 191.64 192.58 192.12 226.07 223.89 242.87 180.39 248.80
24.0 52.8 176.71 175.02 175.87 176.28 177.57 188.12 189.96 205.05 207.05 211.68 213.73 196.28 194.40 195.33 194.86 229.28 227.09 246.25 182.98 252.28
24.5 53.9 179.25 177.53 178.39 178.81 180.11 190.77 192.61 207.86 209.89 214.58 216.67 199.04 197.12 198.07 197.60 232.48 230.26 249.62 185.54 255.75
25.0 55.0 181.76 180.01 180.88 181.31 182.63 193.38 195.26 210.66 212.72 217.48 219.58 201.77 199.83 200.81 200.32 235.67 233.40 252.98 188.10 259.20
25.5 56.1 184.26 182.48 183.38 183.81 185.15 195.98 197.89 213.45 215.53 220.35 222.49 204.49 202.54 203.52 203.02 238.82 236.53 256.32 190.63 262.62
26.0 57.2 186.73 184.95 185.84 186.29 187.64 198.56 200.50 216.23 218.33 223.21 225.38 207.22 205.22 206.21 205.71 241.98 239.65 259.62 193.16 266.04
26.5 58.3 189.22 187.40 188.31 188.77 190.13 201.15 203.11 218.98 221.10 226.06 228.26 209.91 207.89 208.90 208.40 245.13 242.76 262.93 195.68 269.42
27.0 59.4 191.67 189.83 190.76 191.22 192.59 203.72 205.69 221.73 223.88 228.89 231.12 212.59 210.54 211.57 211.06 248.23 245.84 266.22 198.18 272.80
27.5 60.5 194.13 192.25 193.19 193.66 195.06 206.26 208.27 224.46 226.63 231.71 233.95 215.26 213.19 214.23 213.71 251.34 248.92 269.47 200.67 276.14
28.0 61.6 196.55 194.68 195.62 196.09 197.50 208.81 210.83 227.17 229.38 234.51 236.79 217.92 215.82 216.88 216.35 254.43 251.97 272.72 203.15 279.49
28.5 62.7 198.98 197.07 198.03 198.50 199.94 211.33 213.37 229.86 232.10 237.30 239.60 220.55 218.44 219.50 218.96 257.48 255.02 275.94 205.61 282.81
29.0 63.8 201.40 199.46 200.42 200.91 202.36 213.84 215.91 232.56 234.81 240.08 242.40 223.18 221.04 222.11 221.57 260.55 258.03 279.17 208.06 286.11
29.5 64.9 203.79 201.83 202.80 203.29 204.76 216.33 218.43 235.22 237.52 242.82 245.19 225.79 223.62 224.72 224.16 263.58 261.04 282.35 210.49 289.40
30.0 66.0 206.16 204.19 205.18 205.68 207.16 218.80 220.94 237.89 240.19 245.57 247.97 228.39 226.20 227.30 226.75 266.61 264.04 285.54 212.91 292.66
